Total Number of Records          73440.
             DATA SET: https://mynasadata.larc.nasa.gov/thredds/dodsC/CAL_night_agg
             X: 0.5 to 73440.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (months since 01-JUN-2006 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: AOD_ALL_SKY_MEAN_DUST is Mean Dust Optical Depth, All-sky (unitless)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,AOD_ALL_SKY_MEAN_DUST
"01-JAN-2009",31,-177.5,-84,-1.E+34  
"01-JAN-2009",31,-172.5,-84,-1.E+34  
"01-JAN-2009",31,-167.5,-84,-1.E+34  
"01-JAN-2009",31,-162.5,-84,-1.E+34  
"01-JAN-2009",31,-157.5,-84,-1.E+34  
"01-JAN-2009",31,-152.5,-84,-1.E+34  
"01-JAN-2009",31,-147.5,-84,-1.E+34  
"01-JAN-2009",31,-142.5,-84,-1.E+34  
"01-JAN-2009",31,-137.5,-84,-1.E+34  
"01-JAN-2009",31,-132.5,-84,-1.E+34  
"01-JAN-2009",31,-127.5,-84,-1.E+34  
"01-JAN-2009",31,-122.5,-84,-1.E+34  
"01-JAN-2009",31,-117.5,-84,-1.E+34  
"01-JAN-2009",31,-112.5,-84,-1.E+34  
"01-JAN-2009",31,-107.5,-84,-1.E+34  
"01-JAN-2009",31,-102.5,-84,-1.E+34  
"01-JAN-2009",31,-97.5,-84,-1.E+34  
"01-JAN-2009",31,-92.5,-84,-1.E+34  
"01-JAN-2009",31,-87.5,-84,-1.E+34  
"01-JAN-2009",31,-82.5,-84,-1.E+34  
"01-JAN-2009",31,-77.5,-84,-1.E+34  
"01-JAN-2009",31,-72.5,-84,-1.E+34  
"01-JAN-2009",31,-67.5,-84,-1.E+34  
"01-JAN-2009",31,-62.5,-84,-1.E+34  
"01-JAN-2009",31,-57.5,-84,-1.E+34  
"01-JAN-2009",31,-52.5,-84,-1.E+34  
"01-JAN-2009",31,-47.5,-84,-1.E+34  
"01-JAN-2009",31,-42.5,-84,-1.E+34  
"01-JAN-2009",31,-37.5,-84,-1.E+34  
"01-JAN-2009",31,-32.5,-84,-1.E+34  
"01-JAN-2009",31,-27.5,-84,-1.E+34  
"01-JAN-2009",31,-22.5,-84,-1.E+34  
"01-JAN-2009",31,-17.5,-84,-1.E+34  
"01-JAN-2009",31,-12.5,-84,-1.E+34  
"01-JAN-2009",31,-7.5,-84,-1.E+34  
"01-JAN-2009",31,-2.5,-84,-1.E+34  
"01-JAN-2009",31,2.5,-84,-1.E+34  
"01-JAN-2009",31,7.5,-84,-1.E+34  
"01-JAN-2009",31,12.5,-84,-1.E+34  
"01-JAN-2009",31,17.5,-84,-1.E+34  
"01-JAN-2009",31,22.5,-84,-1.E+34  
"01-JAN-2009",31,27.5,-84,-1.E+34  
"01-JAN-2009",31,32.5,-84,-1.E+34  
"01-JAN-2009",31,37.5,-84,-1.E+34  
"01-JAN-2009",31,42.5,-84,-1.E+34  
"01-JAN-2009",31,47.5,-84,-1.E+34  
"01-JAN-2009",31,52.5,-84,-1.E+34  
"01-JAN-2009",31,57.5,-84,-1.E+34  
"01-JAN-2009",31,62.5,-84,-1.E+34  
"01-JAN-2009",31,67.5,-84,-1.E+34  
"01-JAN-2009",31,72.5,-84,-1.E+34  
"01-JAN-2009",31,77.5,-84,-1.E+34  
"01-JAN-2009",31,82.5,-84,-1.E+34  
"01-JAN-2009",31,87.5,-84,-1.E+34  
"01-JAN-2009",31,92.5,-84,-1.E+34  
"01-JAN-2009",31,97.5,-84,-1.E+34  
"01-JAN-2009",31,102.5,-84,-1.E+34  
"01-JAN-2009",31,107.5,-84,-1.E+34  
"01-JAN-2009",31,112.5,-84,-1.E+34  
"01-JAN-2009",31,117.5,-84,-1.E+34  
"01-JAN-2009",31,122.5,-84,-1.E+34  
"01-JAN-2009",31,127.5,-84,-1.E+34  
"01-JAN-2009",31,132.5,-84,-1.E+34  
"01-JAN-2009",31,137.5,-84,-1.E+34  
"01-JAN-2009",31,142.5,-84,-1.E+34  
"01-JAN-2009",31,147.5,-84,-1.E+34  
"01-JAN-2009",31,152.5,-84,-1.E+34  
"01-JAN-2009",31,157.5,-84,-1.E+34  
"01-JAN-2009",31,162.5,-84,-1.E+34  
"01-JAN-2009",31,167.5,-84,-1.E+34  
"01-JAN-2009",31,172.5,-84,-1.E+34  
"01-JAN-2009",31,177.5,-84,-1.E+34  
"01-JAN-2009",31,-177.5,-82,-1.E+34  
"01-JAN-2009",31,-172.5,-82,-1.E+34  
"01-JAN-2009",31,-167.5,-82,-1.E+34  
"01-JAN-2009",31,-162.5,-82,-1.E+34  
"01-JAN-2009",31,-157.5,-82,-1.E+34  
"01-JAN-2009",31,-152.5,-82,-1.E+34  
"01-JAN-2009",31,-147.5,-82,-1.E+34  
"01-JAN-2009",31,-142.5,-82,-1.E+34  
"01-JAN-2009",31,-137.5,-82,-1.E+34  
"01-JAN-2009",31,-132.5,-82,-1.E+34  
"01-JAN-2009",31,-127.5,-82,-1.E+34  
"01-JAN-2009",31,-122.5,-82,-1.E+34  
"01-JAN-2009",31,-117.5,-82,-1.E+34  
"01-JAN-2009",31,-112.5,-82,-1.E+34  
"01-JAN-2009",31,-107.5,-82,-1.E+34  
"01-JAN-2009",31,-102.5,-82,-1.E+34  
"01-JAN-2009",31,-97.5,-82,-1.E+34  
"01-JAN-2009",31,-92.5,-82,-1.E+34  
"01-JAN-2009",31,-87.5,-82,-1.E+34  
"01-JAN-2009",31,-82.5,-82,-1.E+34  
"01-JAN-2009",31,-77.5,-82,-1.E+34  
"01-JAN-2009",31,-72.5,-82,-1.E+34  
"01-JAN-2009",31,-67.5,-82,-1.E+34  
"01-JAN-2009",31,-62.5,-82,-1.E+34  
"01-JAN-2009",31,-57.5,-82,-1.E+34  
"01-JAN-2009",31,-52.5,-82,-1.E+34  
"01-JAN-2009",31,-47.5,-82,-1.E+34  
"01-JAN-2009",31,-42.5,-82,-1.E+34  
"01-JAN-2009",31,-37.5,-82,-1.E+34  
"01-JAN-2009",31,-32.5,-82,-1.E+34  
"01-JAN-2009",31,-27.5,-82,-1.E+34  
"01-JAN-2009",31,-22.5,-82,-1.E+34  
"01-JAN-2009",31,-17.5,-82,-1.E+34  
"01-JAN-2009",31,-12.5,-82,-1.E+34  
"01-JAN-2009",31,-7.5,-82,-1.E+34  
"01-JAN-2009",31,-2.5,-82,-1.E+34  
"01-JAN-2009",31,2.5,-82,-1.E+34  
"01-JAN-2009",31,7.5,-82,-1.E+34  
"01-JAN-2009",31,12.5,-82,-1.E+34  
"01-JAN-2009",31,17.5,-82,-1.E+34  
"01-JAN-2009",31,22.5,-82,-1.E+34  
"01-JAN-2009",31,27.5,-82,-1.E+34  
"01-JAN-2009",31,32.5,-82,-1.E+34  
"01-JAN-2009",31,37.5,-82,-1.E+34  
"01-JAN-2009",31,42.5,-82,-1.E+34  
"01-JAN-2009",31,47.5,-82,-1.E+34  
"01-JAN-2009",31,52.5,-82,-1.E+34  
"01-JAN-2009",31,57.5,-82,-1.E+34  
"01-JAN-2009",31,62.5,-82,-1.E+34  
"01-JAN-2009",31,67.5,-82,-1.E+34  
"01-JAN-2009",31,72.5,-82,-1.E+34  
"01-JAN-2009",31,77.5,-82,-1.E+34  
"01-JAN-2009",31,82.5,-82,-1.E+34  
"01-JAN-2009",31,87.5,-82,-1.E+34  
"01-JAN-2009",31,92.5,-82,-1.E+34  
"01-JAN-2009",31,97.5,-82,-1.E+34  
"01-JAN-2009",31,102.5,-82,-1.E+34  
"01-JAN-2009",31,107.5,-82,-1.E+34  
"01-JAN-2009",31,112.5,-82,-1.E+34  
"01-JAN-2009",31,117.5,-82,-1.E+34  
"01-JAN-2009",31,122.5,-82,-1.E+34  
"01-JAN-2009",31,127.5,-82,-1.E+34  
"01-JAN-2009",31,132.5,-82,-1.E+34  
"01-JAN-2009",31,137.5,-82,-1.E+34  
"01-JAN-2009",31,142.5,-82,-1.E+34  
"01-JAN-2009",31,147.5,-82,-1.E+34  
"01-JAN-2009",31,152.5,-82,-1.E+34  
"01-JAN-2009",31,157.5,-82,-1.E+34  
"01-JAN-2009",31,162.5,-82,-1.E+34  
"01-JAN-2009",31,167.5,-82,-1.E+34  
"01-JAN-2009",31,172.5,-82,-1.E+34  
"01-JAN-2009",31,177.5,-82,-1.E+34  
"01-JAN-2009",31,-177.5,-80,-1.E+34  
"01-JAN-2009",31,-172.5,-80,-1.E+34  
"01-JAN-2009",31,-167.5,-80,-1.E+34  
"01-JAN-2009",31,-162.5,-80,-1.E+34  
"01-JAN-2009",31,-157.5,-80,-1.E+34  
"01-JAN-2009",31,-152.5,-80,-1.E+34  
"01-JAN-2009",31,-147.5,-80,-1.E+34  
"01-JAN-2009",31,-142.5,-80,-1.E+34  
"01-JAN-2009",31,-137.5,-80,-1.E+34  
"01-JAN-2009",31,-132.5,-80,-1.E+34  
"01-JAN-2009",31,-127.5,-80,-1.E+34  
"01-JAN-2009",31,-122.5,-80,-1.E+34  
"01-JAN-2009",31,-117.5,-80,-1.E+34  
"01-JAN-2009",31,-112.5,-80,-1.E+34  
"01-JAN-2009",31,-107.5,-80,-1.E+34  
"01-JAN-2009",31,-102.5,-80,-1.E+34  
"01-JAN-2009",31,-97.5,-80,-1.E+34  
"01-JAN-2009",31,-92.5,-80,-1.E+34  
"01-JAN-2009",31,-87.5,-80,-1.E+34  
"01-JAN-2009",31,-82.5,-80,-1.E+34  
"01-JAN-2009",31,-77.5,-80,-1.E+34  
"01-JAN-2009",31,-72.5,-80,-1.E+34  
"01-JAN-2009",31,-67.5,-80,-1.E+34  
"01-JAN-2009",31,-62.5,-80,-1.E+34  
"01-JAN-2009",31,-57.5,-80,-1.E+34  
"01-JAN-2009",31,-52.5,-80,-1.E+34  
"01-JAN-2009",31,-47.5,-80,-1.E+34  
"01-JAN-2009",31,-42.5,-80,-1.E+34  
"01-JAN-2009",31,-37.5,-80,-1.E+34  
"01-JAN-2009",31,-32.5,-80,-1.E+34  
"01-JAN-2009",31,-27.5,-80,-1.E+34  
"01-JAN-2009",31,-22.5,-80,-1.E+34  
"01-JAN-2009",31,-17.5,-80,-1.E+34  
"01-JAN-2009",31,-12.5,-80,-1.E+34  
"01-JAN-2009",31,-7.5,-80,-1.E+34  
"01-JAN-2009",31,-2.5,-80,-1.E+34  
"01-JAN-2009",31,2.5,-80,-1.E+34  
"01-JAN-2009",31,7.5,-80,-1.E+34  
"01-JAN-2009",31,12.5,-80,-1.E+34  
"01-JAN-2009",31,17.5,-80,-1.E+34  
"01-JAN-2009",31,22.5,-80,-1.E+34  
"01-JAN-2009",31,27.5,-80,-1.E+34  
"01-JAN-2009",31,32.5,-80,-1.E+34  
"01-JAN-2009",31,37.5,-80,-1.E+34  
"01-JAN-2009",31,42.5,-80,-1.E+34  
"01-JAN-2009",31,47.5,-80,-1.E+34  
"01-JAN-2009",31,52.5,-80,-1.E+34  
"01-JAN-2009",31,57.5,-80,-1.E+34  
"01-JAN-2009",31,62.5,-80,-1.E+34  
"01-JAN-2009",31,67.5,-80,-1.E+34  
"01-JAN-2009",31,72.5,-80,-1.E+34  
"01-JAN-2009",31,77.5,-80,-1.E+34  
"01-JAN-2009",31,82.5,-80,-1.E+34  
"01-JAN-2009",31,87.5,-80,-1.E+34  
"01-JAN-2009",31,92.5,-80,-1.E+34  
"01-JAN-2009",31,97.5,-80,-1.E+34  
"01-JAN-2009",31,102.5,-80,-1.E+34  
"01-JAN-2009",31,107.5,-80,-1.E+34  
"01-JAN-2009",31,112.5,-80,-1.E+34  
"01-JAN-2009",31,117.5,-80,-1.E+34  
"01-JAN-2009",31,122.5,-80,-1.E+34  
"01-JAN-2009",31,127.5,-80,-1.E+34  
"01-JAN-2009",31,132.5,-80,-1.E+34  
"01-JAN-2009",31,137.5,-80,-1.E+34  
"01-JAN-2009",31,142.5,-80,-1.E+34  
"01-JAN-2009",31,147.5,-80,-1.E+34  
"01-JAN-2009",31,152.5,-80,-1.E+34  
"01-JAN-2009",31,157.5,-80,-1.E+34  
"01-JAN-2009",31,162.5,-80,-1.E+34  
"01-JAN-2009",31,167.5,-80,-1.E+34  
"01-JAN-2009",31,172.5,-80,-1.E+34  
"01-JAN-2009",31,177.5,-80,-1.E+34  
"01-JAN-2009",31,-177.5,-78,-1.E+34  
"01-JAN-2009",31,-172.5,-78,-1.E+34  
"01-JAN-2009",31,-167.5,-78,-1.E+34  
"01-JAN-2009",31,-162.5,-78,-1.E+34  
"01-JAN-2009",31,-157.5,-78,-1.E+34  
"01-JAN-2009",31,-152.5,-78,-1.E+34  
"01-JAN-2009",31,-147.5,-78,-1.E+34  
"01-JAN-2009",31,-142.5,-78,-1.E+34  
"01-JAN-2009",31,-137.5,-78,-1.E+34  
"01-JAN-2009",31,-132.5,-78,-1.E+34  
"01-JAN-2009",31,-127.5,-78,-1.E+34  
"01-JAN-2009",31,-122.5,-78,-1.E+34  
"01-JAN-2009",31,-117.5,-78,-1.E+34  
"01-JAN-2009",31,-112.5,-78,-1.E+34  
"01-JAN-2009",31,-107.5,-78,-1.E+34  
"01-JAN-2009",31,-102.5,-78,-1.E+34  
"01-JAN-2009",31,-97.5,-78,-1.E+34  
"01-JAN-2009",31,-92.5,-78,-1.E+34  
"01-JAN-2009",31,-87.5,-78,-1.E+34  
"01-JAN-2009",31,-82.5,-78,-1.E+34  
"01-JAN-2009",31,-77.5,-78,-1.E+34  
"01-JAN-2009",31,-72.5,-78,-1.E+34  
"01-JAN-2009",31,-67.5,-78,-1.E+34  
"01-JAN-2009",31,-62.5,-78,-1.E+34  
"01-JAN-2009",31,-57.5,-78,-1.E+34  
"01-JAN-2009",31,-52.5,-78,-1.E+34  
"01-JAN-2009",31,-47.5,-78,-1.E+34  
"01-JAN-2009",31,-42.5,-78,-1.E+34  
"01-JAN-2009",31,-37.5,-78,-1.E+34  
"01-JAN-2009",31,-32.5,-78,-1.E+34  
"01-JAN-2009",31,-27.5,-78,-1.E+34  
"01-JAN-2009",31,-22.5,-78,-1.E+34  
"01-JAN-2009",31,-17.5,-78,-1.E+34  
"01-JAN-2009",31,-12.5,-78,-1.E+34  
"01-JAN-2009",31,-7.5,-78,-1.E+34  
"01-JAN-2009",31,-2.5,-78,-1.E+34  
"01-JAN-2009",31,2.5,-78,-1.E+34  
"01-JAN-2009",31,7.5,-78,-1.E+34  
"01-JAN-2009",31,12.5,-78,-1.E+34  
"01-JAN-2009",31,17.5,-78,-1.E+34  
"01-JAN-2009",31,22.5,-78,-1.E+34  
"01-JAN-2009",31,27.5,-78,-1.E+34  
"01-JAN-2009",31,32.5,-78,-1.E+34  
"01-JAN-2009",31,37.5,-78,-1.E+34  
"01-JAN-2009",31,42.5,-78,-1.E+34  
"01-JAN-2009",31,47.5,-78,-1.E+34  
"01-JAN-2009",31,52.5,-78,-1.E+34  
"01-JAN-2009",31,57.5,-78,-1.E+34  
"01-JAN-2009",31,62.5,-78,-1.E+34  
"01-JAN-2009",31,67.5,-78,-1.E+34  
"01-JAN-2009",31,72.5,-78,-1.E+34  
"01-JAN-2009",31,77.5,-78,-1.E+34  
"01-JAN-2009",31,82.5,-78,-1.E+34  
"01-JAN-2009",31,87.5,-78,-1.E+34  
"01-JAN-2009",31,92.5,-78,-1.E+34  
"01-JAN-2009",31,97.5,-78,-1.E+34  
"01-JAN-2009",31,102.5,-78,-1.E+34  
"01-JAN-2009",31,107.5,-78,-1.E+34  
"01-JAN-2009",31,112.5,-78,-1.E+34  
"01-JAN-2009",31,117.5,-78,-1.E+34  
"01-JAN-2009",31,122.5,-78,-1.E+34  
"01-JAN-2009",31,127.5,-78,-1.E+34  
"01-JAN-2009",31,132.5,-78,-1.E+34  
"01-JAN-2009",31,137.5,-78,-1.E+34  
"01-JAN-2009",31,142.5,-78,-1.E+34  
"01-JAN-2009",31,147.5,-78,-1.E+34  
"01-JAN-2009",31,152.5,-78,-1.E+34  
"01-JAN-2009",31,157.5,-78,-1.E+34  
"01-JAN-2009",31,162.5,-78,-1.E+34  
"01-JAN-2009",31,167.5,-78,-1.E+34  
"01-JAN-2009",31,172.5,-78,-1.E+34  
"01-JAN-2009",31,177.5,-78,-1.E+34  
"01-JAN-2009",31,-177.5,-76,-1.E+34  
"01-JAN-2009",31,-172.5,-76,-1.E+34  
"01-JAN-2009",31,-167.5,-76,-1.E+34  
"01-JAN-2009",31,-162.5,-76,-1.E+34  
"01-JAN-2009",31,-157.5,-76,-1.E+34  
"01-JAN-2009",31,-152.5,-76,-1.E+34  
"01-JAN-2009",31,-147.5,-76,-1.E+34  
"01-JAN-2009",31,-142.5,-76,-1.E+34  
"01-JAN-2009",31,-137.5,-76,-1.E+34  
"01-JAN-2009",31,-132.5,-76,-1.E+34  
"01-JAN-2009",31,-127.5,-76,-1.E+34  
"01-JAN-2009",31,-122.5,-76,-1.E+34  
"01-JAN-2009",31,-117.5,-76,-1.E+34  
"01-JAN-2009",31,-112.5,-76,-1.E+34  
"01-JAN-2009",31,-107.5,-76,-1.E+34  
"01-JAN-2009",31,-102.5,-76,-1.E+34  
"01-JAN-2009",31,-97.5,-76,-1.E+34  
"01-JAN-2009",31,-92.5,-76,-1.E+34  
"01-JAN-2009",31,-87.5,-76,-1.E+34  
"01-JAN-2009",31,-82.5,-76,-1.E+34  
"01-JAN-2009",31,-77.5,-76,-1.E+34  
"01-JAN-2009",31,-72.5,-76,-1.E+34  
"01-JAN-2009",31,-67.5,-76,-1.E+34  
"01-JAN-2009",31,-62.5,-76,-1.E+34  
"01-JAN-2009",31,-57.5,-76,-1.E+34  
"01-JAN-2009",31,-52.5,-76,-1.E+34  
"01-JAN-2009",31,-47.5,-76,-1.E+34  
"01-JAN-2009",31,-42.5,-76,-1.E+34  
"01-JAN-2009",31,-37.5,-76,-1.E+34  
"01-JAN-2009",31,-32.5,-76,-1.E+34  
"01-JAN-2009",31,-27.5,-76,-1.E+34  
"01-JAN-2009",31,-22.5,-76,-1.E+34  
"01-JAN-2009",31,-17.5,-76,-1.E+34  
"01-JAN-2009",31,-12.5,-76,-1.E+34  
"01-JAN-2009",31,-7.5,-76,-1.E+34  
"01-JAN-2009",31,-2.5,-76,-1.E+34  
"01-JAN-2009",31,2.5,-76,-1.E+34  
"01-JAN-2009",31,7.5,-76,-1.E+34  
"01-JAN-2009",31,12.5,-76,-1.E+34  
"01-JAN-2009",31,17.5,-76,-1.E+34  
"01-JAN-2009",31,22.5,-76,-1.E+34  
"01-JAN-2009",31,27.5,-76,-1.E+34  
"01-JAN-2009",31,32.5,-76,-1.E+34  
"01-JAN-2009",31,37.5,-76,-1.E+34  
"01-JAN-2009",31,42.5,-76,-1.E+34  
"01-JAN-2009",31,47.5,-76,-1.E+34  
"01-JAN-2009",31,52.5,-76,-1.E+34  
"01-JAN-2009",31,57.5,-76,-1.E+34  
"01-JAN-2009",31,62.5,-76,-1.E+34  
"01-JAN-2009",31,67.5,-76,-1.E+34  
"01-JAN-2009",31,72.5,-76,-1.E+34  
"01-JAN-2009",31,77.5,-76,-1.E+34  
"01-JAN-2009",31,82.5,-76,-1.E+34  
"01-JAN-2009",31,87.5,-76,-1.E+34  
"01-JAN-2009",31,92.5,-76,-1.E+34  
"01-JAN-2009",31,97.5,-76,-1.E+34  
"01-JAN-2009",31,102.5,-76,-1.E+34  
"01-JAN-2009",31,107.5,-76,-1.E+34  
"01-JAN-2009",31,112.5,-76,-1.E+34  
"01-JAN-2009",31,117.5,-76,-1.E+34  
"01-JAN-2009",31,122.5,-76,-1.E+34  
"01-JAN-2009",31,127.5,-76,-1.E+34  
"01-JAN-2009",31,132.5,-76,-1.E+34  
"01-JAN-2009",31,137.5,-76,-1.E+34  
"01-JAN-2009",31,142.5,-76,-1.E+34  
"01-JAN-2009",31,147.5,-76,-1.E+34  
"01-JAN-2009",31,152.5,-76,-1.E+34  
"01-JAN-2009",31,157.5,-76,-1.E+34  
